Shimmer1	Shimmer1	Shimmer1	Shimmer1
Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z
CAL	CAL	CAL	CAL
mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)
2849587,952	10,723	-1,050	-3,891
2849592,834	10,832	-0,931	-3,901
2849597,717	10,772	-1,079	-3,812
2849602,600	10,990	-1,129	-3,782
2849607,483	10,881	-1,069	-3,861
2849612,366	10,891	-1,139	-3,891
2849617,249	10,723	-0,950	-3,901
2849622,131	10,842	-1,010	-3,822
2849627,014	10,871	-1,089	-3,782
2849631,897	10,931	-1,000	-3,713
2849636,780	10,842	-1,050	-3,891
2849641,663	10,822	-0,950	-3,703
2849646,545	10,871	-1,149	-3,881
2849651,428	10,891	-1,129	-3,713
2849656,311	10,911	-0,990	-3,832
2849661,194	10,752	-1,000	-3,723
2849666,077	10,792	-1,030	-3,842
2849670,959	10,911	-0,881	-4,010
2849675,842	10,911	-1,139	-3,802
2849680,725	10,990	-1,089	-3,733
2849685,608	10,861	-1,079	-3,802
2849690,491	10,792	-1,188	-3,703
2849695,374	10,842	-1,149	-3,634
2849700,256	10,851	-0,970	-3,842
2849705,139	10,663	-0,980	-3,792
2849710,022	10,842	-0,970	-3,743
2849714,905	10,911	-1,010	-3,792
2849719,788	11,000	-1,099	-3,891
2849724,670	10,743	-1,050	-3,802
2849729,553	10,970	-0,980	-3,802
2849734,436	10,822	-0,931	-3,871
2849739,319	10,871	-1,040	-3,861
2849744,202	10,871	-0,970	-3,762
2849749,084	10,911	-0,960	-3,911
2849753,967	10,871	-1,109	-3,851
2849758,850	10,931	-1,158	-3,802
2849763,733	10,960	-1,079	-3,921
2849768,616	10,792	-0,970	-3,782
2849773,499	10,822	-1,030	-3,832
2849778,381	10,921	-1,010	-3,802
2849783,264	10,851	-0,990	-3,792
2849788,147	10,832	-0,960	-3,792
2849793,030	10,950	-0,941	-3,921
2849797,913	10,931	-1,079	-3,871
2849802,795	10,911	-1,079	-3,772
2849807,678	10,782	-0,980	-3,812
2849812,561	10,723	-1,040	-3,941
2849817,444	10,842	-0,990	-3,772
2849822,327	10,990	-0,941	-3,832
2849827,209	10,901	-0,980	-3,812
2849832,092	10,901	-0,911	-3,881
2849836,975	10,822	-0,990	-3,911
2849841,858	10,772	-1,059	-3,832
2849846,741	10,743	-0,990	-3,782
2849851,624	10,891	-0,980	-3,822
2849856,506	10,822	-1,000	-3,941
2849861,389	10,950	-1,079	-3,842
2849866,272	10,881	-1,119	-3,851
2849871,155	10,901	-1,119	-3,782
2849876,038	10,802	-1,010	-3,762
2849880,920	10,822	-1,158	-3,733
2849885,803	10,980	-1,079	-3,762
2849890,686	10,911	-1,109	-3,851
2849895,569	10,990	-1,109	-3,752
2849900,452	10,851	-0,901	-3,842
2849905,334	10,881	-0,921	-3,713
2849910,217	10,871	-0,970	-3,663
2849915,100	10,861	-1,040	-3,802
2849919,983	10,980	-1,059	-3,772
2849924,866	10,931	-0,990	-3,772
2849929,749	10,891	-1,040	-3,990
2849934,631	10,891	-0,970	-3,881
2849939,514	10,861	-1,040	-3,871
2849944,397	10,782	-0,911	-3,842
2849949,280	10,782	-1,000	-3,871
2849954,163	10,822	-1,020	-3,733
2849959,045	10,881	-1,139	-3,822
2849963,928	10,911	-0,950	-3,960
2849968,811	10,762	-1,099	-3,752
2849973,694	10,911	-1,129	-3,743
2849978,577	10,891	-1,178	-3,822
2849983,459	10,960	-1,059	-3,990
2849988,342	10,871	-1,089	-3,891
2849993,225	10,842	-1,079	-3,673
2849998,108	10,980	-1,069	-3,782
2850002,991	10,812	-1,089	-3,861
2850007,874	10,832	-0,921	-3,861
2850012,756	10,861	-1,059	-3,832
2850017,639	10,752	-1,129	-3,891
2850022,522	10,861	-1,139	-3,842
2850027,405	10,743	-0,970	-3,851
2850032,288	10,812	-0,950	-3,861
2850037,170	10,891	-0,911	-3,861
2850042,053	10,881	-1,109	-3,762
2850046,936	10,891	-1,040	-3,970
2850051,819	10,861	-0,960	-3,832
2850056,702	10,812	-1,208	-3,851
2850061,584	10,812	-1,010	-3,762
2850066,467	10,881	-1,059	-3,911
2850071,350	10,802	-0,960	-3,990
2850076,233	10,881	-1,149	-3,911
2850081,116	10,891	-1,010	-3,792
2850085,999	10,762	-1,050	-3,812
2850090,881	10,891	-1,168	-3,792
2850095,764	10,792	-1,119	-3,772
2850100,647	10,743	-0,911	-3,792
2850105,530	10,941	-0,990	-3,673
2850110,413	10,861	-0,941	-3,842
2850115,295	10,931	-1,208	-3,693
2850120,178	10,891	-1,040	-3,772
2850125,061	11,119	-0,911	-3,693
2850129,944	10,792	-1,069	-3,673
2850134,827	11,020	-1,119	-3,832
2850139,709	10,723	-1,059	-3,782
2850144,592	10,842	-1,089	-4,149
2850149,475	10,921	-0,950	-3,881
2850154,358	10,901	-0,901	-3,901
2850159,241	11,188	-0,891	-4,089
2850164,124	10,871	-1,030	-3,881
2850169,006	10,861	-0,901	-3,891
2850173,889	10,970	-1,050	-3,812
2850178,772	10,673	-1,317	-3,356
2850183,655	10,822	-0,990	-4,020
2850188,538	10,871	-0,960	-3,792
2850193,420	10,990	-1,030	-3,960
2850198,303	10,851	-0,980	-3,713
2850203,186	10,960	-1,109	-3,871
2850208,069	10,911	-1,129	-3,812
2850212,952	10,812	-0,970	-3,733
2850217,834	10,871	-1,099	-3,733
2850222,717	10,970	-1,089	-3,822
2850227,600	10,941	-0,980	-3,733
2850232,483	10,911	-0,941	-3,931
2850237,366	10,881	-1,158	-3,733
2850242,249	10,792	-1,089	-3,822
2850247,131	10,861	-1,149	-3,703
2850252,014	10,851	-1,059	-3,772
2850256,897	10,871	-0,950	-3,842
2850261,780	10,990	-0,980	-3,980
2850266,663	10,881	-0,960	-3,950
2850271,545	10,861	-1,099	-3,871
2850276,428	10,931	-1,099	-3,812
2850281,311	10,822	-1,079	-3,812
2850286,194	10,901	-0,950	-3,683
2850291,077	10,950	-1,020	-3,871
2850295,959	10,812	-1,050	-3,980
2850300,842	10,851	-0,832	-3,782
2850305,725	10,941	-1,020	-3,842
2850310,608	10,931	-0,931	-3,703
2850315,491	10,960	-1,020	-3,762
2850320,374	10,861	-1,020	-3,792
2850325,256	10,792	-1,000	-3,713
2850330,139	10,842	-1,020	-3,871
2850335,022	10,723	-1,079	-3,792
2850339,905	10,871	-1,109	-3,941
2850344,788	10,980	-0,970	-3,782
2850349,670	11,059	-0,921	-3,871
2850354,553	10,950	-0,950	-3,871
2850359,436	10,921	-0,970	-3,881
2850364,319	10,733	-1,040	-3,851
2850369,202	10,891	-1,168	-3,762
2850374,084	10,911	-1,069	-3,911
2850378,967	10,901	-0,990	-3,861
2850383,850	10,901	-1,030	-3,842
2850388,733	10,901	-1,000	-3,851
2850393,616	10,782	-0,990	-3,861
2850398,499	10,901	-1,020	-3,752
2850403,381	10,911	-0,980	-3,792
2850408,264	10,901	-1,099	-3,891
2850413,147	10,851	-0,990	-4,030
2850418,030	10,842	-0,941	-3,812
2850422,913	10,782	-0,950	-3,772
2850427,795	10,851	-1,030	-3,762
2850432,678	10,871	-1,079	-3,931
2850437,561	10,851	-1,059	-3,743
2850442,444	10,861	-1,139	-3,772
2850447,327	10,960	-1,030	-3,871
2850452,209	10,822	-1,050	-3,950
2850457,092	10,733	-1,099	-3,941
2850461,975	10,822	-1,099	-3,832
2850466,858	10,851	-1,158	-3,822
2850471,741	10,762	-1,079	-3,822
2850476,624	10,881	-1,030	-3,941
2850481,506	10,762	-1,030	-3,743
2850486,389	10,891	-0,980	-3,802
2850491,272	10,812	-1,079	-3,851
2850496,155	10,842	-0,960	-3,911
2850501,038	10,931	-0,931	-3,842
2850505,920	10,772	-0,911	-3,743
2850510,803	10,921	-0,911	-3,812
2850515,686	10,832	-0,950	-3,683
2850520,569	10,911	-1,079	-3,931
2850525,452	10,911	-1,030	-3,782
2850530,334	10,970	-0,980	-3,802
2850535,217	10,851	-1,079	-3,752
2850540,100	10,812	-0,931	-3,673
2850544,983	10,941	-0,980	-3,812
2850549,866	10,970	-1,109	-3,792
2850554,749	10,950	-1,030	-3,713
2850559,631	10,970	-1,030	-3,762
2850564,514	10,851	-1,050	-3,693
2850569,397	10,911	-1,010	-3,723
2850574,280	10,861	-1,040	-3,802
2850579,163	10,950	-1,069	-3,911
2850584,045	10,911	-0,950	-3,891
2850588,928	10,861	-1,149	-3,772
2850593,811	10,792	-0,881	-3,861
2850598,694	10,782	-1,089	-3,812
2850603,577	10,842	-1,059	-3,832
2850608,459	10,851	-1,059	-3,871
2850613,342	10,911	-0,980	-3,812
2850618,225	10,871	-1,050	-3,693
2850623,108	10,713	-1,109	-3,931
2850627,991	10,832	-1,228	-3,842
2850632,874	10,931	-0,960	-3,842
2850637,756	10,921	-1,020	-3,832
2850642,639	11,040	-1,089	-3,822
2850647,522	10,851	-1,119	-3,822
2850652,405	10,891	-1,020	-3,911
2850657,288	10,911	-1,050	-3,921
2850662,170	10,851	-1,099	-3,703
2850667,053	10,861	-0,901	-3,871
2850671,936	10,861	-1,020	-3,881
2850676,819	10,851	-0,881	-3,832
2850681,702	10,762	-1,000	-3,822
2850686,584	10,842	-0,960	-3,832
2850691,467	10,851	-1,069	-3,802
2850696,350	10,871	-1,000	-3,881
2850701,233	10,921	-1,228	-3,693
2850706,116	10,881	-1,000	-3,921
2850710,999	11,020	-1,149	-3,911
2850715,881	10,921	-1,109	-3,822
2850720,764	10,822	-0,980	-3,921
2850725,647	10,871	-1,129	-3,772
2850730,530	10,822	-0,960	-3,782
2850735,413	10,891	-1,109	-3,772
2850740,295	10,970	-0,990	-3,901
2850745,178	10,832	-1,020	-3,891
2850750,061	10,574	-1,139	-4,168
2850754,944	10,861	-0,950	-3,891
2850759,827	10,842	-1,020	-3,653
2850764,709	11,079	-1,109	-4,040
2850769,592	10,079	-1,446	-3,980
2850774,475	10,881	-0,990	-3,644
2850779,358	10,931	-1,010	-3,772
2850784,241	11,050	-0,832	-3,792
2850789,124	10,941	-0,752	-3,723
2850794,006	10,871	-1,198	-3,941
2850798,889	10,772	-1,099	-3,782
2850803,772	10,713	-1,446	-3,653
2850808,655	10,822	-1,089	-4,020
2850813,538	10,653	-1,238	-3,911
2850818,420	11,069	-0,733	-4,218
2850823,303	11,584	-0,832	-4,347
2850828,186	11,030	-1,089	-4,287
2850833,069	10,703	-1,030	-3,683
2850837,952	10,723	-1,149	-3,743
2850842,834	10,851	-0,891	-3,713
2850847,717	10,733	-1,089	-3,693
2850852,600	10,970	-1,020	-3,772
2850857,483	10,891	-1,089	-3,851
2850862,366	10,970	-1,158	-3,663
2850867,249	10,832	-0,970	-3,743
2850872,131	10,891	-0,941	-3,822
2850877,014	10,802	-1,099	-3,822
2850881,897	10,861	-1,168	-3,782
2850886,780	10,861	-1,000	-3,881
2850891,663	10,881	-1,119	-3,851
2850896,545	10,812	-0,970	-3,901
2850901,428	10,851	-1,139	-3,842
2850906,311	10,911	-1,129	-3,871
2850911,194	10,881	-0,931	-3,911
2850916,077	10,762	-1,050	-3,653
2850920,959	10,941	-1,059	-3,832
2850925,842	10,792	-0,891	-3,871
2850930,725	10,881	-1,079	-3,881
2850935,608	10,851	-1,010	-3,822
2850940,491	10,911	-1,010	-3,832
2850945,374	10,861	-1,089	-3,782
2850950,256	10,792	-1,010	-3,792
2850955,139	10,812	-0,931	-3,762
2850960,022	10,832	-0,960	-3,881
2850964,905	10,980	-1,040	-3,931
2850969,788	10,822	-0,980	-3,822
2850974,670	10,861	-1,119	-3,663
2850979,553	10,941	-1,020	-3,881
2850984,436	10,743	-0,941	-3,891
2850989,319	10,891	-1,050	-3,792
2850994,202	10,921	-0,990	-3,941
2850999,084	10,950	-1,208	-3,772
2851003,967	10,871	-1,059	-3,881
2851008,850	10,990	-0,970	-3,812
2851013,733	10,812	-0,921	-3,851
2851018,616	10,772	-1,030	-3,792
2851023,499	10,782	-0,931	-3,762
2851028,381	10,931	-0,950	-3,723
2851033,264	10,881	-1,030	-3,782
2851038,147	10,881	-1,069	-3,792
2851043,030	10,881	-0,960	-3,634
2851047,913	10,871	-1,119	-3,802
2851052,795	10,960	-1,129	-3,861
2851057,678	10,792	-1,069	-3,891
2851062,561	10,772	-0,990	-3,881
2851067,444	10,891	-1,059	-3,792
2851072,327	10,881	-0,931	-3,812
2851077,209	10,881	-1,158	-3,733
2851082,092	10,842	-1,040	-3,752
2851086,975	10,802	-1,089	-3,931
2851091,858	10,921	-0,921	-3,921
2851096,741	10,822	-1,079	-3,990
2851101,624	10,812	-0,970	-3,812
2851106,506	10,822	-0,980	-3,891
2851111,389	10,960	-1,030	-3,822
2851116,272	10,851	-1,030	-3,802
2851121,155	10,941	-0,950	-3,713
2851126,038	10,842	-1,059	-3,772
2851130,920	10,960	-0,990	-3,782
2851135,803	11,000	-1,000	-3,980
2851140,686	10,802	-1,050	-3,842
2851145,569	10,891	-1,079	-3,723
2851150,452	10,832	-1,079	-3,802
2851155,334	10,881	-0,950	-3,861
2851160,217	10,772	-1,040	-3,772
2851165,100	10,990	-1,069	-3,911
2851169,983	10,762	-1,099	-3,762
2851174,866	10,891	-1,010	-3,703
2851179,749	10,772	-1,030	-3,871
2851184,631	10,842	-1,050	-3,871
2851189,514	10,772	-1,000	-3,762
2851194,397	11,000	-1,089	-3,931
2851199,280	10,802	-0,980	-3,881
2851204,163	10,842	-1,010	-3,822
2851209,045	10,772	-0,921	-3,762
2851213,928	11,069	-0,980	-3,832
2851218,811	10,871	-0,990	-3,970
2851223,694	10,871	-1,030	-3,733
2851228,577	10,891	-1,168	-3,941
2851233,459	10,871	-1,069	-3,822
2851238,342	11,010	-1,109	-3,931
2851243,225	10,802	-1,030	-3,762
2851248,108	10,980	-1,069	-3,842
2851252,991	10,901	-1,050	-3,802
2851257,874	10,802	-1,069	-3,851
2851262,756	10,782	-1,089	-3,812
2851267,639	10,950	-1,059	-3,782
2851272,522	10,931	-1,010	-3,683
2851277,405	10,792	-1,228	-3,891
2851282,288	10,921	-0,941	-3,851
2851287,170	10,901	-1,050	-3,941
2851292,053	10,970	-1,089	-3,703
2851296,936	10,703	-0,970	-3,891
2851301,819	10,960	-0,911	-3,792
2851306,702	11,089	-1,010	-3,772
2851311,584	10,822	-1,129	-3,792
2851316,467	10,752	-1,158	-3,624
2851321,350	10,960	-1,040	-3,822
2851326,233	10,842	-1,109	-3,851
2851331,116	10,832	-1,059	-3,911
2851335,999	10,881	-1,050	-3,851
2851340,881	10,822	-1,089	-3,683
2851345,764	10,881	-1,000	-3,752
2851350,647	10,772	-1,020	-3,752
2851355,530	10,802	-0,980	-3,941
2851360,413	10,901	-1,000	-3,762
2851365,295	10,772	-0,941	-3,673
2851370,178	10,960	-1,020	-3,792
