Shimmer1	Shimmer1	Shimmer1	Shimmer1
Timestamp	Gyroscope X*	Gyroscope Y*	Gyroscope Z*
uncalibrated	uncalibrated	uncalibrated	uncalibrated
no units	no units	no units	no units
109522114	2050	1164	1666
109522274	2041	1193	1682
109522434	2041	1208	1706
109522594	2017	1190	1783
109522754	1966	1132	1814
109522914	1912	1064	1834
109523074	1846	989	1846
109523234	1803	928	1892
109523394	1751	863	1907
109523554	1725	833	1895
109523714	1741	876	1909
109523874	1761	936	1887
109524034	1762	1008	1859
109524194	1787	1041	1823
