Shimmer1	Shimmer1	Shimmer1	Shimmer1
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z
CAL	CAL	CAL	CAL
mSecs	deg/sec	deg/sec	deg/sec
3340440,491	84,982	-88,278	-158,608
3340445,374	98,901	-78,388	-157,509
3340450,256	113,187	-69,963	-154,945
3340455,139	111,355	-67,766	-152,381
3340460,022	110,256	-60,440	-152,747
3340464,905	115,751	-60,806	-152,747
3340469,788	115,751	-62,271	-162,637
3340474,670	105,861	-65,934	-168,132
3340479,553	108,059	-69,963	-173,260
3340484,436	110,989	-66,300	-158,242
3340489,319	112,088	-75,824	-145,421
3340494,202	110,989	-75,092	-140,659
3340499,084	110,989	-82,784	-130,403
3340503,967	115,385	-90,842	-131,868
3340508,850	107,692	-93,773	-141,758
3340513,733	109,158	-93,040	-132,967
3340518,616	110,623	-98,535	-126,374
3340523,499	104,029	-97,802	-124,542
3340528,381	111,355	-93,773	-126,740
3340533,264	110,256	-94,872	-139,560
3340538,147	110,623	-89,377	-139,927
3340543,030	114,286	-89,011	-143,223
3340547,913	108,059	-89,377	-152,747
3340552,795	134,066	-82,051	-164,103
3340557,678	122,344	-73,260	-161,905
3340562,561	137,363	-61,905	-163,004
3340567,444	141,392	-38,095	-167,033
3340572,327	147,619	-29,304	-163,370
3340577,209	150,183	-19,048	-142,857
3340582,092	167,766	-20,879	-129,670
3340586,975	160,073	-23,443	-122,344
3340591,858	152,381	-29,670	-135,897
3340596,741	130,403	-42,125	-148,718
3340601,624	123,810	-45,788	-145,421
3340606,506	133,700	-47,985	-142,491
3340611,389	136,996	-45,788	-148,718
3340616,272	136,996	-37,729	-145,421
3340621,155	130,403	-33,700	-141,392
3340626,038	141,758	-18,681	-120,147
3340630,920	155,678	-8,791	-107,692
3340635,803	167,033	-4,029	-97,070
3340640,686	173,626	-8,791	-96,703
3340645,569	166,300	-4,396	-120,147
3340650,452	150,549	-8,425	-146,154
3340655,334	143,956	-10,623	-160,806
3340660,217	144,322	-9,890	-157,875
3340665,100	144,322	-12,088	-155,678
3340669,983	145,788	-14,286	-161,538
3340674,866	141,026	-17,949	-159,707
3340679,749	142,125	-15,018	-171,795
3340684,631	133,333	-17,582	-180,586
3340689,514	131,136	-22,344	-178,022
3340694,397	130,769	-26,374	-170,330
3340699,280	129,304	-27,839	-169,597
3340704,163	134,799	-35,897	-167,033
3340709,045	133,700	-41,026	-172,527
3340713,928	137,363	-34,432	-170,330
3340718,811	138,462	-38,828	-176,923
3340723,694	132,967	-37,729	-185,714
3340728,577	138,095	-39,927	-190,110
3340733,459	138,828	-38,828	-184,982
3340738,342	151,282	-29,670	-184,615
3340743,225	152,381	-23,443	-182,051
3340748,108	147,619	-19,414	-174,359
3340752,991	149,084	-17,949	-178,022
3340757,874	149,451	-22,711	-170,330
3340762,756	157,509	-14,286	-158,974
3340767,639	158,974	-15,385	-161,905
3340772,522	159,707	-13,187	-164,469
3340777,405	165,568	-8,425	-160,440
3340782,288	165,934	-6,593	-163,370
3340787,170	160,073	-11,722	-158,608
3340792,053	164,469	-5,495	-161,172
3340796,936	167,766	-0,366	-160,073
3340801,819	163,004	-2,198	-143,590
3340806,702	169,597	-4,762	-143,223
3340811,584	162,271	-5,128	-150,916
3340816,467	158,242	-9,890	-150,183
3340821,350	157,509	-10,623	-147,985
3340826,233	156,044	-12,088	-140,293
3340831,116	154,945	-10,623	-151,282
3340835,999	145,055	-0,366	-162,637
3340840,881	152,015	-0,366	-159,341
3340845,764	153,846	5,128	-152,381
3340850,647	166,667	16,117	-163,736
