Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1
Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z
RAW	RAW	RAW	RAW	CAL	CAL	CAL	CAL
No unit	No unit	No unit	No unit	mSecs	m/(sec^2)*	m/(sec^2)*	m/(sec^2)*
25825	2992	2087	1687	46788,1164550781	9,34653465346535	0,386138613861386	-3,57425742574257
25985	2978	2087	1703	46792,9992675781	9,20792079207921	0,386138613861386	-3,41584158415842
26145	2994	2078	1689	46797,8820800781	9,36633663366337	0,297029702970297	-3,55445544554455
26305	2981	2081	1710	46802,7648925781	9,23762376237624	0,326732673267327	-3,34653465346535
26465	2987	2081	1702	46807,6477050781	9,2970297029703	0,326732673267327	-3,42574257425743
26625	2998	2092	1703	46812,5305175781	9,40594059405941	0,435643564356436	-3,41584158415842
26785	2985	2074	1702	46817,4133300781	9,27722772277228	0,257425742574257	-3,42574257425743
26945	2980	2083	1669	46822,2961425781	9,22772277227723	0,346534653465347	-3,75247524752475
27105	2991	2060	1689	46827,1789550781	9,33663366336634	0,118811881188119	-3,55445544554455
27265	2995	2092	1679	46832,0617675781	9,37623762376238	0,435643564356436	-3,65346534653465
27425	2985	2093	1698	46836,9445800781	9,27722772277228	0,445544554455446	-3,46534653465347
27585	2976	2077	1694	46841,8273925781	9,18811881188119	0,287128712871287	-3,50495049504951
27745	2972	2081	1706	46846,7102050781	9,14851485148515	0,326732673267327	-3,38613861386139
27905	2992	2095	1694	46851,5930175781	9,34653465346535	0,465346534653465	-3,50495049504951
28065	2953	2089	1673	46856,4758300781	8,96039603960396	0,405940594059406	-3,71287128712871
28225	2987	2076	1695	46861,3586425781	9,2970297029703	0,277227722772277	-3,4950495049505
28385	2991	2076	1698	46866,2414550781	9,33663366336634	0,277227722772277	-3,46534653465347
28545	2968	2087	1692	46871,1242675781	9,10891089108911	0,386138613861386	-3,52475247524752
28705	3005	2087	1688	46876,0070800781	9,47524752475248	0,386138613861386	-3,56435643564356
28865	2966	2091	1704	46880,8898925781	9,08910891089109	0,425742574257426	-3,40594059405941
29025	2991	2085	1695	46885,7727050781	9,33663366336634	0,366336633663366	-3,4950495049505
29185	2993	2075	1703	46890,6555175781	9,35643564356436	0,267326732673267	-3,41584158415842
29345	2961	2094	1683	46895,5383300781	9,03960396039604	0,455445544554455	-3,61386138613861
29505	2982	2075	1691	46900,4211425781	9,24752475247525	0,267326732673267	-3,53465346534653
29665	2954	2086	1703	46905,3039550781	8,97029702970297	0,376237623762376	-3,41584158415842
29825	2954	2078	1695	46910,1867675781	8,97029702970297	0,297029702970297	-3,4950495049505
29985	2976	2065	1703	46915,0695800781	9,18811881188119	0,168316831683168	-3,41584158415842
30145	2997	2081	1704	46919,9523925781	9,3960396039604	0,326732673267327	-3,40594059405941
30305	2977	2075	1699	46924,8352050781	9,1980198019802	0,267326732673267	-3,45544554455446
30465	2984	2071	1700	46929,7180175781	9,26732673267327	0,227722772277228	-3,44554455445545
