Shimmer1	Shimmer1	Shimmer1	Shimmer1	Shimmer1	Shimmer1	Shimmer1
Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Gyroscope X	Gyroscope Y	Gyroscope Z
CAL	CAL	CAL	CAL	CAL	CAL	CAL
mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	deg/sec	deg/sec	deg/sec
3536906,311	-5,485	-0,703	1,832	14,652	-34,432	-21,978
3536911,194	-6,149	0,307	1,762	14,652	-34,432	-21,978
3536916,077	-6,168	-0,129	1,485	14,652	-34,432	-21,978
3536920,959	-6,495	0,079	1,851	14,652	-34,432	-21,978
3536925,842	-6,446	0,188	1,624	14,652	-34,432	-21,978
3536930,725	-6,525	-0,040	1,653	14,652	-34,432	-21,978
3536935,608	-6,218	-0,238	1,604	14,652	-34,432	-21,978
3536940,491	-5,851	-0,248	1,584	14,652	-34,432	-21,978
3536945,374	-5,941	-0,158	1,624	14,652	-34,432	-21,978
3536950,256	-5,980	-0,050	1,614	14,652	-34,432	-21,978
3536955,139	-5,881	0,149	1,564	14,652	-34,432	-21,978
3536960,022	-6,119	-0,079	1,713	14,652	-34,432	-21,978
3536964,905	-6,208	-0,307	1,693	14,652	-34,432	-21,978
3536969,788	-7,287	-1,149	2,337	14,652	-34,432	-21,978
3536974,670	-9,881	0,634	3,010	14,652	-34,432	-21,978
3536979,553	-4,891	0,931	0,178	14,652	-34,432	-21,978
3536984,436	-4,495	1,327	0,475	14,652	-34,432	-21,978
3536989,319	-4,802	0,218	0,485	14,652	-34,432	-21,978
3536994,202	-5,604	-0,257	1,198	14,652	-34,432	-21,978
3536999,084	-6,059	-0,604	1,653	14,652	-34,432	-21,978
3537003,967	-6,109	-0,386	1,812	14,652	-34,432	-21,978
3537008,850	-6,337	-0,109	2,149	14,652	-34,432	-21,978
3537013,733	-6,446	-0,109	2,238	14,652	-34,432	-21,978
3537018,616	-6,683	-0,228	2,307	14,652	-34,432	-21,978
3537023,499	-6,624	-0,030	2,000	14,652	-34,432	-21,978
3537028,381	-6,713	0,069	1,990	14,652	-34,432	-21,978
3537033,264	-6,624	0,129	1,723	14,652	-34,432	-21,978
3537038,147	-6,485	-0,089	1,960	14,652	-34,432	-21,978
3537043,030	-6,050	-0,178	1,802	14,652	-34,432	-21,978
3537047,913	-5,990	0,010	1,980	14,652	-34,432	-21,978
3537052,795	-6,178	-0,307	1,911	14,652	-34,432	-21,978
3537057,678	-6,198	-0,297	1,871	14,652	-34,432	-21,978
3537062,561	-5,277	0,168	2,010	14,652	-34,432	-21,978
3537067,444	-5,743	-1,099	1,723	14,652	-34,432	-21,978
3537072,327	-5,842	-0,287	1,871	14,652	-34,432	-21,978
3537077,209	-6,257	-0,644	2,287	14,652	-34,432	-21,978
3537082,092	-6,000	-0,713	2,545	14,652	-34,432	-21,978
3537086,975	-5,901	-0,614	2,792	14,652	-34,432	-21,978
3537091,858	-5,931	-1,040	2,861	14,652	-34,432	-21,978
3537096,741	-5,812	-0,683	2,515	14,652	-34,432	-21,978
3537101,624	-5,673	-0,772	2,871	14,652	-34,432	-21,978
3537106,506	-5,505	-0,891	2,842	14,652	-34,432	-21,978
3537111,389	-5,594	-0,594	3,069	14,652	-34,432	-21,978
3537116,272	-5,960	-0,455	3,089	14,652	-34,432	-21,978
